shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster,clusterPersona
1814026,533,70,35.0,35.0,67,45.254833995939045,70,0.0,1.0,1273.0,0.0,0.0,0.0,0.0,1.29299525702683,1.0,67,35.0,45.254833995939045,1.9142857142857144,,,,,-1.0459155290526942,12.076193723435,2.4175196983948086,4,3,Volatile Portability Hubs
3384010,930,212400,694.1176470588235,685.0,750,34.845220511259555,212400,1.1909384224604809,1.0,4850334.0,460944.0,10.154912470558788,1.1909384224604809,582.8333333333334,0.050200741414526476,1.0,13500,12494.117647058823,645.4600958185698,1.0805084745762712,17.513612,78.423792,Medchal,Active,4.033070586109645,0.42795395064156777,1.2674439571520226,0,0,Active Urban Shops
3384009,930,294876,963.6470588235294,968.0,1017,35.67549015610712,294876,1.68520130487166,1.0,6058314.0,605520.0,11.140222571545587,1.68520130487166,571.8333333333334,0.03702132417615804,1.0,18306,17345.647058823528,660.8397064697738,1.055365645220364,17.497311,78.430067,Medchal,Active,5.958001618325195,-0.6835843751750301,2.0666700070591015,3,0,High-Volume Urban Hubs
1804020,533,1,1.0,1.0,1,0.0,1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,,,,,-2.439892367432248,2.48407229248378,-0.23288902745174048,1,2,Stable Rural Shops
1804050,533,60,60.0,60.0,60,0.0,60,0.0,1.0,1175.0,0.0,0.0,0.0,0.0,0.0,1.0,60,60.0,0.0,1.0,,,,,-2.221885930625835,2.396006247164655,-0.3060131019547183,1,2,Stable Rural Shops
1803028,533,46,23.0,23.0,45,31.11269837220809,46,0.0,1.0,711.0,0.0,0.0,0.0,0.0,1.3527260161829604,1.0,45,23.0,31.11269837220809,1.9565217391304348,,,,,-1.177629481129958,12.418144411374712,2.5412560244189537,4,3,Volatile Portability Hubs
1803031,533,24,24.0,24.0,24,0.0,24,0.0,1.0,533.0,0.0,0.0,0.0,0.0,0.0,1.0,24,24.0,0.0,1.0,,,,,-2.354893424157043,2.4497355640673786,-0.26139955247265345,1,2,Stable Rural Shops
1804013,533,4,4.0,4.0,4,0.0,4,0.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4.0,0.0,1.0,,,,,-2.428801181901997,2.4795916645612466,-0.23660926965480292,1,2,Stable Rural Shops
1804014,533,19,19.0,19.0,19,0.0,19,19.0,1.0,340.0,0.0,0.0,19.0,1.0,0.0,1.0,19,19.0,0.0,1.0,,,,,3.9879435351982564,-18.208645551028848,46.91563734913646,2,-1,Anomalous High-Utilization
1804023,533,7,7.0,7.0,7,0.0,7,0.0,1.0,138.0,0.0,0.0,0.0,0.0,0.0,1.0,7,7.0,0.0,1.0,,,,,-2.4177197585086585,2.4751153382506597,-0.24032620761188364,1,2,Stable Rural Shops
1803026,533,53,53.0,53.0,53,0.0,53,0.0,1.0,946.0,0.0,0.0,0.0,0.0,0.0,1.0,53,53.0,0.0,1.0,,,,,-2.247768054375186,2.4064622313512944,-0.2973316260284877,1,2,Stable Rural Shops
1803027,533,61,61.0,61.0,61,0.0,61,0.0,1.0,1020.0,0.0,0.0,0.0,0.0,0.0,1.0,61,61.0,0.0,1.0,,,,,-2.2182237246174226,2.394528063484413,-0.30724138483643215,1,2,Stable Rural Shops
1585046,537,55674,181.94117647058823,177.0,218,17.152062551160427,55674,1.2129411764705884,1.0,1087398.0,117468.0,9.558896118946322,1.2129411764705884,150.0,0.09427257140954648,1.0,3924,3274.9411764705883,317.71852137313215,1.1981894600711283,17.364379,78.53559,Ranga Reddy,Active,-0.31538711823652654,1.8890267815015613,2.6526809697607123,0,0,Active Urban Shops
1820015,533,108,54.0,54.0,107,74.95331880577403,108,0.0,1.0,2557.0,0.0,0.0,0.0,0.0,1.3880244223291487,1.0,107,54.0,74.95331880577403,1.9814814814814814,,,,,-0.645321500154743,12.953777615711742,2.6170552142638064,4,3,Volatile Portability Hubs
3302018,930,189756,620.1176470588235,623.0,661,24.69537453908804,189702,1.2997354331849291,0.9997031512818425,3939426.0,356202.0,11.154034436606075,1.2997354331849291,477.1111111111111,0.03982369257868494,0.9997154240182129,11898,11162.117647058823,457.4480684122712,1.0659267691140202,17.420602,78.562959,Medchal,Active,3.1849144267372096,0.33807205301165005,1.739465539217795,0,0,Active Urban Shops
3302057,930,183924,601.0588235294117,681.0,733,128.62211702294368,183852,1.5365845742402013,0.999365848748345,3730392.0,290988.0,13.759114425851175,1.5365845742402013,391.1666666666667,0.21399256110687442,0.999608533959679,13194,10819.058823529413,2382.548962523862,1.219514582110002,17.387828,78.550466,Medchal,Active,4.127533144644363,2.1925864085889675,2.8742411795029974,0,0,Active Urban Shops
3384185,930,238896,780.7058823529412,783.0,851,40.81238679744363,238788,1.239585117215754,0.9995554326349606,4930848.0,558072.0,9.35215421069775,1.239585117215754,629.8333333333334,0.05227626398105347,0.9995479204339964,15318,14052.70588235294,755.9936974527202,1.0900391802290537,17.504502,78.422262,Medchal,Active,4.7489742848347785,0.31202149025706155,1.2407516370051181,0,0,Active Urban Shops
3384177,930,68040,222.35294117647058,186.0,577,139.09555487061306,68004,0.31278162896465417,0.9996244549974276,1551870.0,195642.0,5.880672481749255,0.31278162896465417,710.8888888888889,0.6255620192593709,0.9994708994708995,10386,4002.3529411764707,2576.5550872525623,2.594973544973545,17.492505,78.45229,Medchal,Active,2.2954504662291058,9.502767644777034,1.625141556278862,4,-1,Volatile Portability Hubs
1890007,533,20484,66.94117647058823,66.0,83,5.158771354699441,20466,1.029864253393665,0.9990808823529411,467748.0,0.0,0.0,1.029864253393665,65.0,0.07706424695069464,0.9991212653778558,1494,1204.9411764705883,95.55919015735431,1.2398945518453426,18.656676,78.114229,Nizamabad,Active,-1.4469481390930445,2.206811963392076,2.436598578324452,0,0,Active Urban Shops
